ID_1,Provincial Division,ID_G,Geographical Division,Area,Population,Population Density
1,安徽省,3,华东地区,795837,384364968,483
2,北京市,1,华北地区,1556061,164823226,105
3,重庆市,5,西南地区,2365900,192979243,82
4,福建省,3,华东地区,795837,384364968,483
5,甘肃省,6,西北地区,3107900,100634038,32
6,广东省,4,中南地区,1014354,383559808,378
7,广西壮族自治区,4,中南地区,1014354,383559808,378
8,贵州省,5,西南地区,2365900,192979243,82
9,海南省,4,中南地区,1014354,383559808,378
10,河北省,1,华北地区,1556061,164823226,105
11,黑龙江省,2,东北地区,793300,109520844,138
12,河南省,4,中南地区,1014354,383559808,378
13,湖北省,4,中南地区,1014354,383559808,378
14,湖南省,4,中南地区,1014354,383559808,378
15,江苏省,3,华东地区,795837,384364968,483
16,江西省,3,华东地区,795837,384364968,483
17,吉林省,2,东北地区,793300,109520844,138
18,辽宁省,2,东北地区,793300,109520844,138
19,内蒙古自治区,1,华北地区,1556061,164823226,105
20,宁夏回族自治区,6,西北地区,3107900,100634038,32
21,青海省,6,西北地区,3107900,100634038,32
22,陕西省,6,西北地区,3107900,100634038,32
23,山东省,3,华东地区,795837,384364968,483
24,上海市,3,华东地区,795837,384364968,483
25,山西省,1,华北地区,1556061,164823226,105
26,四川省,5,西南地区,2365900,192979243,82
27,天津市,1,华北地区,1556061,164823226,105
28,新疆维吾尔自治区,6,西北地区,3107900,100634038,32
29,西藏自治区,5,西南地区,2365900,192979243,82
30,云南省,5,西南地区,2365900,192979243,82
31,浙江省,3,华东地区,795837,384364968,483
